,id,title,link,sources,date,coord
25,EONET_8139,Wildfire in United States 1019855,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8139,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019855,2024-06-16,"[-105.72193942407317, 33.36714566463279]"
26,EONET_8155,Wildfire in Russian Federation 1019870,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8155,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019870,2024-06-16,"[157.9826588364988, 65.7126495004195]"
27,EONET_8156,Wildfire in Russian Federation 1019871,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8156,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019871,2024-06-16,"[146.71738424130103, 66.77270863830982]"
28,EONET_8160,Wildfire in The Democratic Republic of Congo 1019876,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8160,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019876,2024-06-16,"[18.47351175871417, -7.421050231095639]"
29,EONET_8161,Wildfire in Australia 1019875,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8161,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019875,2024-06-16,"[131.8548805299909, -12.79456054460986]"
30,EONET_8180,Wildfire in Russian Federation 1019895,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8180,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019895,2024-06-16,"[132.99665993798027, 59.948255397135014]"
31,EONET_8181,Wildfire in Russian Federation 1019896,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8181,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019896,2024-06-16,"[150.03649574237724, 67.70905100231123]"
32,EONET_8162,Wildfire in Australia 1019877,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8162,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019877,2024-06-15,"[133.57410753730048, -12.709614536530445]"
33,EONET_8163,Wildfire in Russian Federation 1019878,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8163,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019878,2024-06-15,"[118.4396590811444, 54.66212330033214]"
34,EONET_8182,Wildfire in The Democratic Republic of Congo 1019897,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8182,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019897,2024-06-15,"[23.409917982583444, -3.5668065626110232]"
35,EONET_8140,Wildfire in Russian Federation 1019856,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8140,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019856,2024-06-14,"[156.6579489049529, 64.51608237614225]"
36,EONET_6681,Wildfire in Brazil 1019839,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6681,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019839,2024-06-13,"[-57.28393213498251, -17.671302478650173]"
37,EONET_6687,Wildfire in Botswana 1019845,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6687,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019845,2024-06-13,"[24.83401145650008, -20.02206700721789]"
38,EONET_6695,Wildfire in Australia 1019853,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6695,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019853,2024-06-13,"[132.08417267814752, -13.121198778578076]"
39,EONET_8141,Wildfire in Russian Federation 1019857,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8141,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019857,2024-06-13,"[134.13260040393624, 60.04986605415172]"
40,EONET_8153,Wildfire in Russian Federation 1019868,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8153,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019868,2024-06-13,"[149.44755942026507, 66.34800010503768]"
41,EONET_8183,Wildfire in Australia 1019898,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8183,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019898,2024-06-13,"[134.01157930735363, -12.750722951250086]"
42,EONET_8184,Wildfire in Russian Federation 1019899,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8184,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019899,2024-06-13,"[137.03452360301566, 66.0533143300944]"
43,EONET_6682,Wildfire in Zambia 1019840,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6682,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019840,2024-06-12,"[26.468053102960674, -14.774490930290243]"
44,EONET_6683,Wildfire in Australia 1019841,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6683,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019841,2024-06-12,"[137.3280985860007, -16.628472234184954]"
45,EONET_6684,Wildfire in Australia 1019842,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6684,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019842,2024-06-12,"[137.1618343375941, -16.660030796521053]"
46,EONET_6688,Wildfire in Russian Federation 1019846,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6688,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019846,2024-06-12,"[131.4354712009206, 59.16594147671801]"
47,EONET_6689,Wildfire in Australia 1019847,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6689,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019847,2024-06-12,"[132.1889824594143, -13.48843052157011]"
48,EONET_8142,Wildfire in Bolivia 1019858,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8142,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019858,2024-06-12,"[-60.32042337869555, -16.130845497248135]"
49,EONET_8185,Wildfire in The Democratic Republic of Congo 1019900,https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_8185,https://www.gdacs.org/report.aspx?eventtype=WF&amp;eventid=1019900,2024-06-12,"[23.75848167729023, -3.8754318948046156]"
50,EONET_6697,"Lone Fire Wildfire, Roosevelt, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6697,https://irwin.doi.gov/observer/,2024-06-12,"[-105.668216, 48.114224]"
51,EONET_6699,"Chelsea Slough Fire Wildfire, Roosevelt, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6699,https://irwin.doi.gov/observer/,2024-06-12,"[-105.338766, 48.131857]"
52,EONET_6700,"Pit Fire Wildfire, Roosevelt, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6700,https://irwin.doi.gov/observer/,2024-06-12,"[-105.633388, 48.0773]"
53,EONET_6701,"South Ditch Wildfire, Fergus, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6701,https://irwin.doi.gov/observer/,2024-06-12,"[-109.645068, 47.196479]"
54,EONET_6702,"Gate Fire Wildfire, Roosevelt, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6702,https://irwin.doi.gov/observer/,2024-06-12,"[-105.665969, 48.066644]"
55,EONET_6703,"Fort Peck Tribal Dump Ground Wildfire, Roosevelt, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6703,https://irwin.doi.gov/observer/,2024-06-12,"[-105.17975, 48.10491]"
56,EONET_6704,"Dry Creek - Custer Wildfire, Custer, Montana",https://eonet.gsfc.nasa.gov/api/v2.1/events/EONET_6704,https://irwin.doi.gov/observer/,2024-06-12,"[-105.763867, 46.215133]"
