,date,impact_energy(kt),velocity(km/s),altitude,coord
305,2015-12-21,0.26,12.1,42.2,"(('5.9', 'N'), ('143.0', 'E'))"
306,2015-12-08,0.55,N/A,38.0,"(('69.9', 'S'), ('150.5', 'E'))"
307,2015-11-13,0.31,N/A,28.0,"(('16.0', 'N'), ('124.3', 'E'))"
308,2015-11-02,0.24,N/A,37.0,"(('41.4', 'S'), ('33.0', 'E'))"
309,2015-10-31,0.29,N/A,71.0,"(('9.0', 'N'), ('138.0', 'W'))"
310,2015-10-30,0.51,N/A,N/A,"(('85.0', 'S'), ('161.7', 'W'))"
311,2015-10-13,0.082,12.9,38.9,"(('8.0', 'S'), ('52.5', 'W'))"
312,2015-10-11,0.1,N/A,N/A,"(('55.4', 'S'), ('18.8', 'W'))"
313,2015-10-10,0.12,11.8,51.8,"(('51.0', 'S'), ('21.1', 'W'))"
314,2015-10-04,0.15,N/A,36.1,"(('22.0', 'N'), ('171.6', 'W'))"
315,2015-09-17,0.3,N/A,N/A,"(('43.1', 'S'), ('94.9', 'E'))"
316,2015-09-14,0.22,N/A,N/A,"(('5.8', 'N'), ('15.2', 'W'))"
317,2015-09-08,0.073,16.1,44.4,"(('6.3', 'N'), ('29.9', 'E'))"
318,2015-09-07,3.9,21.0,29.3,"(('14.5', 'N'), ('98.9', 'E'))"
319,2015-09-02,0.13,24.1,39.8,"(('39.1', 'N'), ('40.2', 'E'))"
320,2015-08-04,0.1,N/A,N/A,"(('9.6', 'S'), ('125.9', 'E'))"
321,2015-07-19,0.082,17.8,22.0,"(('20.6', 'N'), ('87.6', 'W'))"
322,2015-07-12,0.079,N/A,41.0,"(('31.0', 'N'), ('159.6', 'E'))"
323,2015-07-04,0.18,49.0,46.3,"(('38.6', 'N'), ('103.1', 'E'))"
324,2015-06-14,0.22,31.9,32.4,"(('6.3', 'N'), ('124.1', 'E'))"
325,2015-06-12,0.5,N/A,43.5,"(('1.3', 'S'), ('32.1', 'W'))"
326,2015-06-10,1,N/A,61.1,"(('11.5', 'S'), ('161.9', 'W'))"
327,2015-06-02,0.99,N/A,N/A,"(('6.4', 'S'), ('142.7', 'W'))"
328,2015-05-20,0.12,N/A,32.4,"(('1.0', 'N'), ('172.6', 'E'))"
329,2015-05-18,0.14,N/A,29.0,"(('32.4', 'N'), ('139.1', 'E'))"
330,2015-05-10,0.42,12.2,29.6,"(('46.3', 'S'), ('179.3', 'W'))"
331,2015-05-07,0.17,17.3,37.0,"(('21.5', 'S'), ('29.3', 'W'))"
332,2015-04-30,0.32,12.9,26.7,"(('48.7', 'S'), ('139.1', 'E'))"
333,2015-04-21,0.27,21.3,37.4,"(('37.7', 'N'), ('39.6', 'W'))"
334,2015-04-10,0.21,N/A,N/A,"(('42.8', 'S'), ('8.2', 'E'))"
335,2015-04-08,0.49,19.2,36.3,"(('25.5', 'S'), ('51.5', 'E'))"
336,2015-04-03,0.14,N/A,N/A,"(('8.4', 'N'), ('157.9', 'W'))"
337,2015-03-30,0.2,13.8,33.1,"(('36.1', 'S'), ('5.5', 'W'))"
338,2015-03-18,0.36,N/A,50.0,"(('5.4', 'S'), ('159.3', 'E'))"
339,2015-03-11,0.23,19.9,35.2,"(('8.0', 'N'), ('119.1', 'E'))"
340,2015-03-08,0.073,N/A,N/A,"(('39.1', 'S'), ('118.6', 'W'))"
341,2015-03-04,0.18,18.0,39.8,"(('15.9', 'S'), ('88.1', 'E'))"
342,2015-02-26,0.53,21.1,33.7,"(('68.0', 'N'), ('149.0', 'W'))"
343,2015-02-25,0.19,N/A,42,"(('12.4', 'N'), ('122.4', 'W'))"
344,2015-02-17,0.11,28.8,39,"(('8.0', 'S'), ('11.2', 'W'))"
345,2015-01-09,0.079,N/A,N/A,"(('23.3', 'S'), ('49.2', 'W'))"
346,2015-01-09,0.41,17.5,36.0,"(('2.0', 'N'), ('28.8', 'E'))"
347,2015-01-07,0.4,35.7,45.5,"(('45.7', 'N'), ('26.9', 'E'))"
348,2015-01-02,0.073,18.1,38.1,"(('31.1', 'S'), ('140.0', 'E'))"
349,2014-12-13,0.15,21.7,30.7,"(('86.7', 'N'), ('162.1', 'W'))"
350,2014-12-12,0.11,12.0,26.3,"(('33.5', 'N'), ('144.9', 'E'))"
351,2014-12-09,0.24,N/A,26.3,"(('76.6', 'N'), ('96.3', 'E'))"
352,2014-11-28,1.7,13.4,26.1,"(('45.8', 'S'), ('172.7', 'W'))"
353,2014-11-27,0.18,N/A,38.0,"(('18.8', 'S'), ('73.4', 'W'))"
354,2014-11-26,0.35,25.3,23.3,"(('69.5', 'S'), ('179.7', 'W'))"
355,2014-11-26,0.32,19.9,37.0,"(('68.2', 'S'), ('24.0', 'W'))"
356,2014-11-04,0.45,16.0,22.2,"(('43.1', 'N'), ('115.8', 'E'))"
357,2014-10-21,0.12,N/A,N/A,"(('22.2', 'N'), ('132.9', 'W'))"
358,2014-10-17,0.23,N/A,39.0,"(('4.6', 'S'), ('66.3', 'W'))"
359,2014-10-14,0.1,16.9,27.2,"(('2.0', 'S'), ('119.2', 'E'))"
360,2014-10-06,0.13,N/A,N/A,"(('43.7', 'S'), ('85.7', 'E'))"
361,2014-09-09,0.098,N/A,32.5,"(('3.2', 'N'), ('137.2', 'E'))"
362,2014-09-05,0.12,N/A,N/A,"(('22.7', 'N'), ('150.0', 'W'))"
363,2014-08-29,0.092,N/A,N/A,"(('6.2', 'S'), ('49.9', 'W'))"
364,2014-08-28,0.12,N/A,N/A,"(('3.2', 'N'), ('45.4', 'W'))"
365,2014-08-23,7.6,16.2,22.2,"(('61.7', 'S'), ('132.6', 'E'))"
366,2014-07-29,0.23,N/A,N/A,"(('49.2', 'S'), ('172.2', 'W'))"
367,2014-07-29,0.17,N/A,N/A,"(('33.9', 'S'), ('115.9', 'W'))"
368,2014-06-28,0.67,12.4,26.3,"(('18.9', 'N'), ('141.2', 'E'))"
369,2014-06-26,0.2,11.2,28.5,"(('71.5', 'S'), ('93.4', 'E'))"
370,2014-05-29,0.19,N/A,28.7,"(('21.9', 'N'), ('131.1', 'W'))"
371,2014-05-16,0.4,18.0,30.8,"(('39.4', 'S'), ('95.9', 'W'))"
372,2014-05-16,0.82,16.5,44.0,"(('44.2', 'S'), ('176.2', 'W'))"
373,2014-05-08,2.4,19.0,35.4,"(('36.9', 'S'), ('87.3', 'E'))"
374,2014-03-29,0.13,16.3,30.7,"(('28.7', 'S'), ('121.5', 'E'))"
375,2014-03-18,1.3,N/A,30.5,"(('0.0', 'N'), ('111.8', 'W'))"
376,2014-03-03,0.29,N/A,N/A,"(('29.0', 'S'), ('94.9', 'W'))"
377,2014-02-18,0.092,N/A,N/A,"(('32.8', 'S'), ('61.5', 'W'))"
378,2014-02-13,1.5,N/A,25.0,"(('13.3', 'N'), ('110.7', 'W'))"
379,2014-01-15,0.41,N/A,29.6,"(('18.5', 'S'), ('141.8', 'E'))"
380,2014-01-12,0.24,16.2,37.0,"(('2.9', 'N'), ('64.4', 'E'))"
381,2014-01-08,0.11,44.8,18.7,"(('1.3', 'S'), ('147.6', 'E'))"
382,2013-12-23,0.43,15.1,34.3,"(('39.5', 'N'), ('2.0', 'E'))"
383,2013-12-08,0.2,11.8,23.5,"(('32.8', 'N'), ('165.1', 'W'))"
384,2013-11-21,0.23,12.4,59.3,"(('44.7', 'N'), ('35.3', 'E'))"
385,2013-10-12,3.5,12.8,22.2,"(('19.1', 'S'), ('25.0', 'W'))"
386,2013-10-09,0.19,N/A,N/A,"((None, None), (None, None))"
387,2013-09-24,0.46,N/A,40.7,"(('10.3', 'S'), ('164.7', 'W'))"
388,2013-08-12,0.15,N/A,66.6,"(('34.4', 'S'), ('118.2', 'E'))"
389,2013-07-31,0.13,N/A,N/A,"((None, None), (None, None))"
390,2013-07-31,0.22,17.8,29.1,"(('31.8', 'S'), ('137.1', 'E'))"
391,2013-07-30,1,18.8,25.6,"(('50.2', 'S'), ('90.2', 'E'))"
392,2013-07-27,0.36,22.1,26.5,"(('0.3', 'N'), ('156.2', 'E'))"
393,2013-07-26,0.073,N/A,37.0,"(('21.0', 'N'), ('178.5', 'W'))"
394,2013-07-18,0.079,N/A,N/A,"((None, None), (None, None))"
395,2013-06-13,0.079,N/A,N/A,"((None, None), (None, None))"
396,2013-06-01,0.12,N/A,28.9,"(('65.6', 'S'), ('138.4', 'E'))"
397,2013-05-14,0.073,N/A,N/A,"(('3.0', 'S'), ('76.4', 'E'))"
398,2013-04-30,10,12.1,21.2,"(('35.5', 'N'), ('30.7', 'W'))"
399,2013-04-21,2.5,14.9,40.7,"(('28.1', 'S'), ('64.6', 'W'))"
400,2013-03-12,0.1,N/A,26.0,"(('32.7', 'S'), ('17.1', 'E'))"
401,2013-02-20,0.1,13.6,N/A,"(('23.0', 'S'), ('38.8', 'W'))"
402,2013-02-15,440,18.6,23.3,"(('54.8', 'N'), ('61.1', 'E'))"
403,2013-02-07,0.21,N/A,N/A,"(('18.8', 'S'), ('158.6', 'W'))"
404,2013-01-25,6.9,N/A,N/A,"(('60.3', 'N'), ('64.6', 'W'))"
405,2013-01-12,0.16,N/A,36.1,"(('15.1', 'S'), ('155.6', 'W'))"
406,2012-12-30,0.55,N/A,N/A,"(('17.3', 'N'), ('83.6', 'W'))"
407,2012-12-18,0.095,N/A,N/A,"((None, None), (None, None))"
408,2012-11-20,0.089,14.3,33.3,"(('2.5', 'N'), ('29.6', 'E'))"
409,2012-11-20,0.36,N/A,N/A,"(('8.0', 'S'), ('86.0', 'W'))"
410,2012-10-25,0.1,N/A,N/A,"((None, None), (None, None))"
411,2012-10-19,0.082,13.2,29.3,"(('75.4', 'S'), ('49.6', 'E'))"
412,2012-10-09,0.58,13.5,27.8,"(('51.2', 'N'), ('84.6', 'W'))"
413,2012-10-03,0.75,17.0,N/A,"(('41.5', 'S'), ('21.9', 'W'))"
414,2012-10-02,1.2,15.4,35.0,"(('8.1', 'S'), ('111.9', 'W'))"
415,2012-09-28,0.13,N/A,N/A,"(('6.9', 'S'), ('73.7', 'E'))"
416,2012-09-18,0.67,18.3,28.1,"(('1.2', 'N'), ('52.2', 'W'))"
417,2012-09-11,0.17,N/A,N/A,"(('18.9', 'S'), ('105.2', 'E'))"
418,2012-09-10,0.082,16.9,23.8,"(('69.8', 'S'), ('111.7', 'W'))"
419,2012-08-27,0.22,28.9,38.7,"(('18.3', 'S'), ('64.2', 'E'))"
420,2012-08-26,0.68,12.7,36.0,"(('11.8', 'N'), ('117.0', 'E'))"
421,2012-08-13,0.11,N/A,N/A,"((None, None), (None, None))"
422,2012-07-27,0.12,N/A,27.2,"(('63.1', 'N'), ('172.3', 'E'))"
423,2012-07-25,0.39,18.5,26.8,"(('36.4', 'N'), ('41.5', 'E'))"
424,2012-06-05,0.086,N/A,N/A,"((None, None), (None, None))"
425,2012-05-25,0.19,N/A,N/A,"(('41.8', 'S'), ('36.2', 'W'))"
426,2012-05-22,0.59,N/A,N/A,"((None, None), (None, None))"
427,2012-05-15,0.39,17.1,33.3,"(('61.8', 'S'), ('135.5', 'W'))"
428,2012-05-04,0.63,N/A,N/A,"(('76.7', 'N'), ('10.6', 'W'))"
429,2012-04-23,0.15,N/A,25.2,"(('36.2', 'N'), ('107.4', 'E'))"
430,2012-04-21,0.42,N/A,N/A,"(('15.8', 'S'), ('174.8', 'W'))"
431,2012-04-19,0.1,N/A,N/A,"(('5.5', 'N'), ('16.8', 'E'))"
432,2012-04-02,0.11,N/A,N/A,"(('28.1', 'N'), ('95.2', 'W'))"
433,2012-03-12,0.3,11.8,25.0,"(('2.5', 'N'), ('139.8', 'E'))"
434,2012-03-03,0.31,N/A,20.4,"(('7.8', 'N'), ('2.7', 'E'))"
435,2012-03-01,0.079,N/A,N/A,"(('46.9', 'N'), ('29.8', 'W'))"
436,2012-02-24,0.13,N/A,N/A,"(('22.7', 'S'), ('30.8', 'E'))"
437,2012-02-17,0.44,N/A,45.6,"(('3.2', 'S'), ('39.9', 'W'))"
438,2012-02-16,0.3,N/A,N/A,"(('9.8', 'N'), ('151.8', 'E'))"
439,2012-02-12,0.41,N/A,61.0,"(('31.7', 'S'), ('54.9', 'E'))"
440,2012-02-04,0.43,12.2,34.2,"(('32.4', 'N'), ('0.1', 'E'))"
441,2012-01-15,0.076,12.3,26.3,"(('64.1', 'S'), ('109.9', 'E'))"
442,2012-01-11,0.26,N/A,N/A,"(('32.2', 'N'), ('88.5', 'E'))"
443,2011-12-19,0.4,N/A,36.1,"(('30.2', 'S'), ('52.6', 'E'))"
444,2011-12-14,0.16,N/A,32.4,"(('62.9', 'S'), ('89.6', 'E'))"
445,2011-12-11,0.1,N/A,N/A,"((None, None), (None, None))"
446,2011-11-20,0.082,N/A,N/A,"(('27.9', 'S'), ('116.3', 'E'))"
447,2011-10-12,0.12,N/A,N/A,"(('26.4', 'S'), ('78.4', 'W'))"
448,2011-09-13,0.21,16.7,21.3,"(('19.9', 'S'), ('13.8', 'W'))"
449,2011-08-31,0.095,N/A,N/A,"(('18.6', 'N'), ('5.1', 'W'))"
450,2011-08-20,0.082,N/A,N/A,"(('27.2', 'S'), ('2.8', 'W'))"
451,2011-08-18,0.082,N/A,N/A,"((None, None), (None, None))"
452,2011-08-11,0.12,N/A,N/A,"((None, None), (None, None))"
453,2011-08-04,0.098,N/A,63.0,"(('40.7', 'S'), ('86.7', 'W'))"
454,2011-07-27,0.15,N/A,29.6,"(('45.3', 'S'), ('63.5', 'E'))"
455,2011-07-07,0.11,N/A,N/A,"((None, None), (None, None))"
456,2011-07-05,0.21,N/A,40.7,"(('29.1', 'N'), ('139.7', 'E'))"
457,2011-07-04,0.1,N/A,N/A,"(('51.7', 'S'), ('175.0', 'E'))"
458,2011-06-16,0.086,N/A,40.5,"(('67.3', 'N'), ('21.4', 'W'))"
459,2011-05-25,4.8,11.6,59.0,"(('4.1', 'N'), ('14.0', 'E'))"
460,2011-05-16,0.073,N/A,N/A,"(('1.2', 'S'), ('92.8', 'E'))"
461,2011-04-27,0.61,N/A,28.7,"(('1.4', 'N'), ('126.6', 'W'))"
462,2011-04-27,0.086,N/A,N/A,"((None, None), (None, None))"
463,2011-04-17,0.086,N/A,N/A,"((None, None), (None, None))"
464,2011-04-11,0.13,N/A,N/A,"((None, None), (None, None))"
465,2011-04-06,0.43,12.7,22.2,"(('71.1', 'N'), ('43.5', 'W'))"
466,2011-03-24,0.19,N/A,59.0,"(('0.6', 'N'), ('127.5', 'W'))"
467,2011-03-23,0.11,N/A,N/A,"((None, None), (None, None))"
468,2011-03-23,0.079,N/A,N/A,"(('16.8', 'S'), ('85.6', 'W'))"
469,2011-03-01,0.13,11.9,30.6,"(('53.5', 'N'), ('103.9', 'E'))"
470,2011-02-21,0.13,18.0,44.4,"(('26.3', 'N'), ('43.7', 'E'))"
471,2011-02-12,0.073,N/A,N/A,"(('7.8', 'N'), ('95.3', 'W'))"
472,2011-01-21,0.23,N/A,61.0,"(('18.9', 'N'), ('44.6', 'W'))"
473,2011-01-08,0.1,N/A,48.0,"(('33.3', 'N'), ('125.8', 'W'))"
474,2010-12-25,33,18.1,26.0,"(('38.0', 'N'), ('158.0', 'E'))"
475,2010-12-14,0.13,N/A,24.0,"(('4.9', 'S'), ('175.5', 'E'))"
476,2010-12-09,0.2,N/A,66.0,"(('54.5', 'S'), ('169.7', 'W'))"
477,2010-12-01,0.39,N/A,33.3,"(('72.5', 'S'), ('144.9', 'E'))"
478,2010-11-21,0.25,N/A,50.0,"(('1.9', 'N'), ('143.3', 'E'))"
479,2010-11-19,0.11,N/A,30.0,"(('10.3', 'S'), ('148.8', 'E'))"
480,2010-11-10,0.22,N/A,N/A,"(('74.5', 'N'), ('77.7', 'W'))"
481,2010-11-09,0.27,N/A,37.0,"(('56.3', 'S'), ('16.7', 'W'))"
482,2010-11-09,0.073,N/A,26.0,"(('14.0', 'S'), ('160.0', 'W'))"
483,2010-10-27,0.42,N/A,35.2,"(('14.1', 'S'), ('67.7', 'E'))"
484,2010-10-08,0.073,N/A,N/A,"((None, None), (None, None))"
485,2010-09-24,0.16,N/A,N/A,"(('67.4', 'S'), ('50.6', 'W'))"
486,2010-09-18,0.21,N/A,N/A,"(('7.4', 'N'), ('36.7', 'E'))"
487,2010-09-08,0.21,N/A,46.3,"(('13.9', 'S'), ('65.5', 'W'))"
488,2010-09-05,1.7,N/A,35.2,"(('25.9', 'S'), ('49.0', 'E'))"
489,2010-09-03,3.8,12.3,33.3,"(('61.0', 'S'), ('146.7', 'E'))"
490,2010-08-17,0.076,N/A,33.3,"(('20.7', 'N'), ('114.3', 'W'))"
491,2010-08-12,0.098,N/A,N/A,"((None, None), (None, None))"
492,2010-08-05,0.12,N/A,N/A,"(('21.5', 'S'), ('46.6', 'E'))"
493,2010-07-15,0.086,N/A,N/A,"(('60.9', 'N'), ('178.1', 'W'))"
494,2010-07-06,14,15.7,26.0,"(('34.1', 'S'), ('174.5', 'W'))"
495,2010-06-26,0.34,N/A,50.0,"(('0.5', 'S'), ('133.2', 'E'))"
496,2010-06-21,0.47,N/A,N/A,"(('22.5', 'S'), ('120.9', 'W'))"
497,2010-06-17,0.35,N/A,42.0,"(('26.1', 'S'), ('100.0', 'E'))"
498,2010-04-17,0.18,N/A,N/A,"(('13.1', 'N'), ('173.0', 'W'))"
499,2010-04-16,2,18.8,22.2,"(('1.8', 'N'), ('176.9', 'W'))"
500,2010-04-06,0.25,N/A,N/A,"(('52.8', 'N'), ('146.5', 'W'))"
501,2010-03-18,0.5,N/A,N/A,"(('32.4', 'S'), ('51.8', 'W'))"
502,2010-03-15,0.25,N/A,N/A,"((None, None), (None, None))"
503,2010-03-14,0.14,N/A,35.6,"(('33.8', 'N'), ('90.2', 'W'))"
504,2010-03-08,0.1,N/A,53.0,"(('18.2', 'N'), ('110.1', 'E'))"
505,2010-03-08,0.85,24.5,52.0,"(('32.0', 'N'), ('92.9', 'W'))"
506,2010-02-28,0.44,15.1,37.0,"(('48.7', 'N'), ('21.0', 'E'))"
507,2010-02-26,0.65,N/A,N/A,"(('37.3', 'S'), ('166.0', 'W'))"
508,2010-02-24,0.28,N/A,N/A,"(('2.6', 'S'), ('102.2', 'W'))"
509,2010-01-15,1.2,14.0,25.0,"(('8.3', 'S'), ('27.0', 'E'))"
510,2009-12-31,0.26,N/A,N/A,"((None, None), (None, None))"
511,2009-12-31,0.31,N/A,20.7,"(('37.9', 'N'), ('178.3', 'W'))"
512,2009-11-25,0.2,N/A,N/A,"(('52.8', 'S'), ('136.5', 'E'))"
513,2009-11-21,18,32.1,38.0,"(('22.0', 'S'), ('29.2', 'E'))"
514,2009-11-18,0.26,N/A,N/A,"((None, None), (None, None))"
515,2009-11-18,1.8,N/A,31.5,"(('40.4', 'N'), ('113.2', 'W'))"
516,2009-11-14,0.082,N/A,N/A,"((None, None), (None, None))"
517,2009-11-07,0.079,N/A,N/A,"(('45.5', 'N'), ('157.7', 'W'))"
518,2009-11-07,0.14,N/A,37.0,"(('24.0', 'N'), ('64.1', 'E'))"
519,2009-10-11,0.22,N/A,27.8,"(('78.3', 'S'), ('70.2', 'E'))"
520,2009-10-08,33,19.2,19.1,"(('4.2', 'S'), ('120.6', 'E'))"
521,2009-09-27,0.27,N/A,37.0,"(('36.0', 'S'), ('67.6', 'W'))"
522,2009-09-18,0.42,N/A,N/A,"(('7.7', 'N'), ('29.5', 'W'))"
523,2009-09-04,2.3,24.0,28.3,"(('42.5', 'N'), ('110.0', 'E'))"
524,2009-08-23,0.75,12.2,34.0,"(('67.7', 'S'), ('18.3', 'E'))"
525,2009-07-31,0.089,N/A,N/A,"(('8.9', 'N'), ('121.9', 'W'))"
526,2009-07-16,1.8,N/A,32.2,"(('24.4', 'S'), ('59.8', 'W'))"
527,2009-07-03,0.095,N/A,N/A,"((None, None), (None, None))"
528,2009-06-27,0.11,15.2,26.1,"(('26.6', 'S'), ('12.6', 'W'))"
529,2009-06-20,0.095,N/A,N/A,"((None, None), (None, None))"
530,2009-06-18,0.11,N/A,57.4,"(('23.7', 'S'), ('16.0', 'W'))"
531,2009-06-09,0.76,N/A,34.2,"(('54.9', 'N'), ('152.7', 'W'))"
532,2009-05-31,0.42,N/A,N/A,"(('19.7', 'N'), ('121.0', 'W'))"
533,2009-05-13,0.23,N/A,N/A,"((None, None), (None, None))"
534,2009-05-04,0.41,N/A,40.7,"(('36.4', 'N'), ('160.4', 'W'))"
535,2009-04-20,0.079,N/A,N/A,"(('6.0', 'N'), ('84.3', 'E'))"
536,2009-04-10,0.73,19.1,32.4,"(('44.7', 'S'), ('25.7', 'E'))"
537,2009-03-15,0.11,N/A,N/A,"(('21.7', 'S'), ('98.6', 'W'))"
538,2009-03-04,0.48,N/A,N/A,"((None, None), (None, None))"
539,2009-03-01,0.073,N/A,N/A,"((None, None), (None, None))"
540,2009-02-20,0.16,N/A,N/A,"(('64.9', 'S'), ('70.0', 'W'))"
541,2009-02-07,3.5,15.4,40.0,"(('56.6', 'N'), ('69.8', 'E'))"
542,2009-01-12,0.16,N/A,N/A,"(('47.8', 'N'), ('44.3', 'W'))"
543,2009-01-10,0.082,N/A,26.5,"(('64.0', 'S'), ('122.8', 'E'))"
544,2008-12-24,0.12,24.1,21.1,"(('68.9', 'S'), ('102.0', 'W'))"
545,2008-12-12,0.6,N/A,50.0,"(('7.0', 'S'), ('9.7', 'W'))"
546,2008-12-09,0.12,N/A,N/A,"((None, None), (None, None))"
547,2008-11-24,0.42,23.7,34.8,"(('57.9', 'S'), ('146.1', 'E'))"
548,2008-11-21,0.41,12.9,28.2,"(('53.1', 'N'), ('109.9', 'W'))"
549,2008-11-18,0.089,22.4,35.2,"(('29.4', 'S'), ('75.9', 'E'))"
550,2008-11-09,0.61,N/A,29.6,"(('14.5', 'N'), ('112.7', 'E'))"
551,2008-10-21,0.15,11.3,29.6,"(('32.8', 'N'), ('165.6', 'W'))"
552,2008-10-10,0.51,N/A,21.4,"(('57.3', 'S'), ('17.0', 'E'))"
553,2008-10-07,1,13.3,38.9,"(('20.9', 'N'), ('31.4', 'E'))"
554,2008-09-09,0.19,N/A,N/A,"((None, None), (None, None))"
555,2008-08-16,0.38,N/A,N/A,"(('11.3', 'N'), ('97.2', 'E'))"
556,2008-08-12,0.073,N/A,N/A,"(('11.6', 'S'), ('175.0', 'W'))"
557,2008-08-07,0.14,13.8,45.4,"(('18.5', 'N'), ('180.0', 'E'))"
558,2008-07-23,0.36,14.5,31.5,"(('38.6', 'N'), ('68.0', 'E'))"
559,2008-07-22,0.2,N/A,54.4,"(('17.8', 'S'), ('89.2', 'W'))"
560,2008-07-11,0.17,N/A,N/A,"((None, None), (None, None))"
561,2008-07-08,0.21,21.7,52.2,"(('72.8', 'N'), ('147.3', 'E'))"
562,2008-07-01,0.12,9.8,36.1,"(('37.1', 'N'), ('115.7', 'W'))"
563,2008-06-27,0.49,23.1,33.7,"(('26.9', 'S'), ('17.7', 'W'))"
564,2008-06-18,0.076,N/A,N/A,"(('6.1', 'N'), ('103.1', 'E'))"
565,2008-05-29,0.076,N/A,N/A,"(('15.7', 'N'), ('83.5', 'W'))"
566,2008-05-24,0.43,14.2,37.0,"(('0.8', 'N'), ('162.0', 'E'))"
567,2008-05-22,0.076,N/A,N/A,"(('46.9', 'N'), ('134.5', 'E'))"
568,2008-05-15,0.25,N/A,N/A,"(('28.0', 'N'), ('41.5', 'W'))"
569,2008-05-06,0.18,N/A,N/A,"((None, None), (None, None))"
570,2008-04-30,0.073,N/A,N/A,"(('33.6', 'S'), ('35.1', 'W'))"
571,2008-04-07,0.076,N/A,N/A,"(('31.8', 'S'), ('58.5', 'W'))"
572,2008-04-06,0.24,N/A,N/A,"((None, None), (None, None))"
573,2008-03-15,0.16,12.9,26.7,"(('28.0', 'N'), ('41.5', 'W'))"
574,2008-02-24,0.23,N/A,N/A,"((None, None), (None, None))"
575,2008-02-19,0.073,N/A,N/A,"(('48.9', 'N'), ('119.8', 'W'))"
576,2008-02-18,0.16,N/A,N/A,"((None, None), (None, None))"
577,2008-02-17,0.33,13.9,40.4,"(('74.9', 'N'), ('73.4', 'W'))"
578,2008-02-16,0.22,N/A,N/A,"((None, None), (None, None))"
579,2008-01-18,0.15,N/A,N/A,"((None, None), (None, None))"
580,2008-01-09,0.14,11.6,31.5,"(('66.8', 'S'), ('67.3', 'W'))"
581,2007-12-26,0.4,N/A,N/A,"(('61.6', 'S'), ('158.9', 'W'))"
582,2007-12-20,0.36,N/A,N/A,"(('51.3', 'N'), ('115.4', 'E'))"
583,2007-10-25,0.19,N/A,46.3,"(('40.9', 'S'), ('91.3', 'E'))"
584,2007-10-12,0.11,18.4,37.0,"(('88.5', 'N'), ('116.6', 'E'))"
585,2007-10-07,0.19,N/A,N/A,"(('35.2', 'S'), ('125.6', 'E'))"
586,2007-09-22,0.65,16.9,30.2,"(('49.2', 'S'), ('85.5', 'W'))"
587,2007-06-11,0.16,17.0,35.2,"(('23.4', 'S'), ('170.9', 'W'))"
588,2007-06-08,0.65,N/A,38.9,"(('52.0', 'S'), ('175.3', 'E'))"
589,2007-06-07,0.11,N/A,29.6,"(('21.9', 'N'), ('53.1', 'E'))"
590,2007-05-16,0.13,N/A,N/A,"(('4.5', 'S'), ('111.7', 'E'))"
591,2007-05-16,1,N/A,31.5,"(('42.4', 'S'), ('164.0', 'E'))"
592,2007-05-04,0.5,N/A,48.0,"(('22.9', 'N'), ('109.4', 'E'))"
593,2007-04-18,0.33,24.4,38.0,"(('83.7', 'S'), ('171.2', 'W'))"
594,2007-04-16,0.086,N/A,N/A,"((None, None), (None, None))"
595,2007-03-17,0.13,14.5,32.5,"(('7.1', 'N'), ('4.1', 'E'))"
596,2007-03-15,0.089,N/A,N/A,"(('44.1', 'S'), ('148.4', 'W'))"
597,2007-03-07,0.095,N/A,N/A,"((None, None), (None, None))"
598,2007-02-02,0.89,N/A,35.5,"(('24.0', 'N'), ('37.2', 'W'))"
599,2007-01-26,0.43,N/A,N/A,"(('3.7', 'N'), ('99.7', 'E'))"
600,2007-01-22,0.24,13.4,32.0,"(('45.4', 'N'), ('53.5', 'E'))"
601,2007-01-18,0.11,N/A,34.1,"(('5.3', 'N'), ('164.3', 'W'))"
602,2007-01-17,1.4,N/A,33.3,"(('8.7', 'S'), ('50.8', 'E'))"
603,2007-01-01,0.12,N/A,53.0,"(('44.4', 'N'), ('116.5', 'E'))"
604,2006-12-09,14,15.9,26.5,"(('26.2', 'N'), ('26.0', 'E'))"
605,2006-12-07,0.076,N/A,N/A,"(('14.0', 'N'), ('140.0', 'W'))"
606,2006-12-01,0.2,N/A,N/A,"(('13.0', 'S'), ('30.7', 'E'))"
607,2006-11-13,0.082,N/A,N/A,"(('44.0', 'S'), ('43.3', 'E'))"
608,2006-10-24,0.62,N/A,43.0,"(('1.9', 'S'), ('2.7', 'W'))"
609,2006-10-14,0.7,23.9,44.4,"(('49.4', 'N'), ('175.0', 'W'))"
610,2006-10-09,0.14,N/A,22.2,"(('47.0', 'S'), ('78.9', 'E'))"
611,2006-10-07,0.14,N/A,40.7,"(('23.0', 'S'), ('61.8', 'W'))"
612,2006-10-02,0.28,N/A,42.0,"(('14.0', 'N'), ('53.1', 'E'))"
613,2006-09-27,0.32,N/A,48.1,"(('32.0', 'S'), ('60.2', 'E'))"
614,2006-09-23,0.36,N/A,N/A,"(('29.0', 'S'), ('108.0', 'W'))"
615,2006-09-02,0.079,N/A,N/A,"((None, None), (None, None))"
616,2006-09-02,2.8,14.2,44.1,"(('14.0', 'S'), ('109.1', 'E'))"
617,2006-08-29,0.28,N/A,40.7,"(('44.0', 'S'), ('162.0', 'W'))"
618,2006-08-18,0.11,N/A,47.2,"(('43.0', 'S'), ('33.4', 'E'))"
