,date,impact_energy(kt),velocity(km/s),altitude,coord
69,2022-06-07,0.11,24.9,41.1,"(('40.8', 'N'), ('127.1', 'W'))"
70,2022-05-24,0.37,N/A,39.8,"(('16.3', 'N'), ('30.4', 'W'))"
71,2022-04-21,0.13,12.7,28.4,"(('55.5', 'S'), ('68.9', 'W'))"
72,2022-04-12,0.17,20.6,23.8,"(('8.2', 'S'), ('57.8', 'E'))"
73,2022-04-04,0.095,19.7,31.5,"(('3.2', 'S'), ('64.3', 'W'))"
74,2022-03-30,0.073,N/A,74.0,"(('45.9', 'S'), ('171.4', 'W'))"
75,2022-03-28,0.98,19.6,29.0,"(('7.7', 'S'), ('74.3', 'E'))"
76,2022-03-24,0.24,18.2,56.7,"(('1.9', 'N'), ('20.6', 'W'))"
77,2022-03-11,4,17.2,33.3,"(('70.0', 'N'), ('9.1', 'W'))"
78,2022-03-06,0.073,N/A,N/A,"(('4.1', 'S'), ('99.5', 'W'))"
79,2022-03-03,0.076,N/A,72.0,"(('50.4', 'S'), ('45.9', 'E'))"
80,2022-02-17,0.095,N/A,41.0,"(('33.5', 'N'), ('38.9', 'W'))"
81,2022-02-17,0.21,21.5,32.4,"(('5.4', 'N'), ('56.4', 'E'))"
82,2022-02-07,7,13.1,26.5,"(('28.7', 'S'), ('11.4', 'E'))"
83,2022-02-03,0.44,22.8,36.0,"(('13.3', 'S'), ('142.2', 'E'))"
84,2022-01-30,0.18,20.0,36.6,"(('50.0', 'N'), ('38.0', 'W'))"
85,2022-01-28,0.9,N/A,37.0,"(('4.5', 'S'), ('73.9', 'W'))"
86,2022-01-11,2.9,22.8,40.8,"(('58.4', 'S'), ('160.2', 'W'))"
87,2022-01-01,0.42,N/A,35.5,"(('66.1', 'N'), ('152.6', 'W'))"
88,2021-12-29,0.073,22.0,44,"(('69.7', 'S'), ('115.0', 'E'))"
89,2021-12-23,0.076,N/A,37,"(('4.9', 'S'), ('29.6', 'W'))"
90,2021-12-20,0.11,18.2,56,"(('62.7', 'N'), ('60.3', 'E'))"
91,2021-12-10,0.16,N/A,27.5,"(('47.5', 'S'), ('172.6', 'E'))"
92,2021-11-28,0.13,19.7,38.4,"(('32.6', 'N'), ('113.5', 'E'))"
93,2021-11-17,0.086,23.0,35.0,"(('6.8', 'S'), ('119.1', 'E'))"
94,2021-11-08,0.11,N/A,36,"(('33.8', 'S'), ('7.7', 'W'))"
95,2021-10-28,0.1,N/A,35.2,"(('4.1', 'S'), ('138.7', 'W'))"
96,2021-10-21,0.13,15.9,30,"(('51.5', 'N'), ('51.4', 'E'))"
97,2021-10-20,0.19,N/A,28,"(('13.8', 'N'), ('140.4', 'W'))"
98,2021-10-20,0.073,27.5,31.4,"(('59.0', 'N'), ('154.3', 'E'))"
99,2021-09-29,0.4,21.2,28.0,"(('53.9', 'N'), ('148.0', 'W'))"
100,2021-09-06,0.11,13.6,26.0,"(('2.1', 'S'), ('111.8', 'W'))"
101,2021-07-30,0.42,N/A,63.0,"(('7.8', 'S'), ('90.1', 'E'))"
102,2021-07-29,0.13,14.7,26.4,"(('42.4', 'N'), ('98.4', 'E'))"
103,2021-07-07,0.11,N/A,N/A,"((None, None), (None, None))"
104,2021-07-05,1.8,15.7,43.4,"(('44.3', 'N'), ('164.2', 'W'))"
105,2021-06-09,0.082,N/A,N/A,"(('17.9', 'S'), ('55.3', 'W'))"
106,2021-05-16,0.13,N/A,37.0,"(('52.1', 'S'), ('171.2', 'W'))"
107,2021-05-06,0.076,26.6,31.0,"(('34.7', 'S'), ('141.0', 'E'))"
108,2021-05-02,0.089,N/A,N/A,"(('12.3', 'N'), ('43.4', 'W'))"
109,2021-04-13,0.076,14.1,44.4,"(('26.8', 'N'), ('79.1', 'W'))"
110,2021-04-02,0.4,N/A,40.0,"(('71.2', 'N'), ('106.7', 'E'))"
111,2021-03-06,0.41,N/A,31.1,"(('48.6', 'S'), ('90.4', 'E'))"
112,2021-03-05,0.13,N/A,32.5,"(('81.1', 'S'), ('141.1', 'E'))"
113,2021-02-28,0.098,N/A,N/A,"(('9.2', 'N'), ('64.1', 'W'))"
114,2021-02-09,0.1,N/A,31.0,"(('75.8', 'N'), ('92.8', 'W'))"
115,2021-02-02,0.11,N/A,20,"(('48.7', 'N'), ('80.1', 'E'))"
116,2021-01-31,0.72,N/A,39.4,"(('5.3', 'N'), ('115.2', 'E'))"
117,2021-01-29,0.24,N/A,30.0,"(('38.8', 'N'), ('51.3', 'W'))"
118,2021-01-25,0.23,N/A,19.1,"(('38.5', 'N'), ('47.6', 'W'))"
119,2021-01-24,0.2,N/A,37.5,"(('45.0', 'S'), ('95.5', 'E'))"
120,2020-12-29,0.16,N/A,33.0,"(('14.9', 'N'), ('158.2', 'W'))"
121,2020-12-28,0.18,N/A,28.3,"(('36.8', 'N'), ('54.7', 'W'))"
122,2020-12-22,9.5,13.6,35.5,"(('31.9', 'N'), ('96.2', 'E'))"
123,2020-11-28,0.092,19.6,28.1,"(('33.3', 'N'), ('135.1', 'E'))"
124,2020-11-25,0.076,N/A,N/A,"(('30.5', 'S'), ('81.0', 'W'))"
