Asteroid ID,Name,Est diameter (km),Potentially hazardous?,Closest approach date,Approach velocity (kps),How much did the asteroid miss us by? (km),For more info on this asteroid: 
54421395,(2024 BM1),0.03,False,2024-01-08,7.31,5458303.01,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421395
54448604,(2024 MM),0.05,False,2024-01-08,7.74,29738899.52,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54448604
3605793,(2012 MP),0.26,False,2024-01-09,9.21,71411544.79,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3605793
3633148,(2013 FC11),0.36,False,2024-01-09,13.81,73404426.26,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3633148
3781028,(2017 QP17),0.52,False,2024-01-09,20.4,58688124.05,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781028
54336914,(2022 YS5),0.05,False,2024-01-09,5.9,8646331.12,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54336914
54416849,(2023 XN13),0.01,False,2024-01-09,1.44,6032641.28,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54416849
54419487,(2024 AS1),0.01,False,2024-01-09,16.79,579850.47,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419487
54419814,(2024 AK3),0.07,False,2024-01-09,10.8,21319889.65,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419814
54421379,(2024 BU),0.01,False,2024-01-09,7.03,2739335.82,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421379
54423142,(2024 BE4),0.02,False,2024-01-09,7.61,7101308.47,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54423142
2678263,678263 (2017 QP17),0.52,False,2024-01-09,20.4,58688123.08,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2678263
3092124,(1994 GL),0.03,False,2024-01-11,7.91,68392432.77,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3092124
3363430,(2006 XY2),0.14,False,2024-01-11,9.25,50573342.88,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3363430
3485632,(2010 AG40),0.17,False,2024-01-11,26.55,46379981.29,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3485632
3596491,(2012 BU61),0.22,True,2024-01-11,29.59,31235090.52,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3596491
3608667,(2012 RT16),0.02,False,2024-01-11,14.95,34186335.35,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3608667
3626732,(2013 CJ89),0.57,False,2024-01-11,32.0,68164449.37,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3626732
3722209,(2015 MO66),0.41,False,2024-01-11,21.59,48943737.82,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3722209
3725756,(2015 OX78),0.46,False,2024-01-11,20.83,47519518.3,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3725756
3763284,(2016 VO1),0.1,False,2024-01-11,10.39,53415312.73,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3763284
3764806,(2016 WU7),0.04,False,2024-01-11,11.96,53590787.88,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3764806
3795086,(2017 YQ5),0.05,False,2024-01-11,11.82,28573611.45,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3795086
3799802,(2018 EC1),0.02,False,2024-01-11,7.5,63871706.36,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3799802
3836297,(2018 WJ1),0.48,False,2024-01-11,1.61,66234085.7,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3836297
3884015,(2019 UY8),0.05,False,2024-01-11,9.67,55723748.65,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3884015
3973542,(2020 AC1),0.01,False,2024-01-11,5.32,7388566.77,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3973542
54051109,(2020 PF5),0.1,False,2024-01-11,10.04,24189379.48,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051109
54051175,(2020 QY),0.04,False,2024-01-11,23.22,74196711.62,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54051175
2604197,604197 (2015 MO66),0.41,False,2024-01-11,21.59,48943736.19,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2604197
54412457,(2023 WZ3),0.05,False,2024-01-11,3.99,6193680.19,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54412457
54413293,(2023 XV1),0.23,True,2024-01-11,14.73,41651143.77,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54413293
54419605,(2024 AE2),0.13,False,2024-01-11,16.45,14217867.03,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419605
54419607,(2024 AG2),0.07,False,2024-01-11,10.34,9535581.72,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54419607
54420281,(2024 AB4),0.03,False,2024-01-11,2.96,5710132.88,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420281
54420442,(2024 AE4),0.01,False,2024-01-11,8.23,1217143.26,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420442
54420444,(2024 AG4),0.01,False,2024-01-11,11.97,340449.67,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420444
54420624,(2024 AM4),0.01,False,2024-01-11,3.2,119476.22,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54420624
54421394,(2024 BL1),0.09,False,2024-01-11,15.07,23947461.53,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421394
54421645,(2024 BR1),0.02,False,2024-01-11,14.76,4276005.85,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54421645
54427460,(2024 BZ15),0.02,False,2024-01-11,10.43,1773086.33,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54427460
2004034,4034 Vishnu (1986 PA),0.85,True,2024-01-10,16.45,60404347.48,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2004034
2354182,354182 (2002 DU3),0.3,True,2024-01-10,7.15,60183229.46,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2354182
